wafer No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
74,3312.81,4119,2505.89,1536.6,1436.64,3823.37,3554.47,2289.86,3597.14,3551.01,1240.97,1549.31,1131.71,1175.5,2070.42,5601.38,3540.9,3549.05,3019.42,2739.66,3348.83
73,2506.88,2984.61,2171.85,1479.52,1430.63,2893.54,2675.86,2099.95,2809.16,2573.34,1332.84,1466.33,1149.89,1223.81,1748.7,3682.48,2766.56,3004.82,2523.06,2587.49,2729.49
72,1677.16,1988.13,1681,1212.59,1205.1,2221.28,2123.9,1810,2183.43,1664.82,1165.43,1117.2,1019.11,1071.16,1397.29,2638.11,2221.31,2408.51,2136.5,2256.45,2264.86
71,1269.81,1486.02,1300.45,990.93,1066.67,1787.68,1713.72,1534.38,1745.88,1249.88,1008.13,942.18,874.99,986.73,1146.36,2165.97,1929.19,2001.57,1851.42,1966.38,1962.32
70,1145.45,1304.11,1111.88,840.45,921.64,1610.36,1440.36,1331.51,1386.42,1098.71,929.36,906.47,831.15,977.02,1007.79,2008.71,1728.27,1769.67,1692.66,1774.44,1749.37
68,1021.69,1138.32,982.33,772.9,807.41,1335.07,1059.37,1197.2,1004.13,968.92,953.7,983.77,814.32,1070.38,875.9,1844.32,1591.92,1686.5,1559.02,1587.32,1555.33
66,962.52,1056.34,932.98,794.86,796.46,1130.08,872.98,1153.5,960.06,900.91,1058.2,1039.22,890.4,1184.68,876.92,1682.56,1521.76,1633.72,1530.85,1619.65,1489.99
64,905.51,983.64,912.32,835.29,830.73,991.04,732.72,1177.64,902.66,906.59,1168.23,1085.67,1008.52,1281.7,915.2,1552.71,1479.92,1558.46,1516.3,1595.87,1456.33
62,890.97,999.25,894.67,858.24,861.28,937.43,681.18,1167.9,819.03,916.48,1262.45,1119.81,1093.08,1320.2,944.07,1490.4,1446.07,1545.06,1547.69,1566.08,1463.15
60,900.36,1002.94,921.8,912.02,898.34,888.77,625.65,1147.02,781.72,944.86,1238.07,1116.1,1107.32,1305.12,965.78,1501.76,1532.02,1498.2,1477.8,1553.97,1461.53
55,933.21,1037.1,917.73,948.22,992.87,897.71,654.8,1082.56,670.06,1069.5,1148.87,1065.33,1106.15,1181.4,1040.87,1571.06,1549.38,1486.29,1497.79,1517.77,1485.7
50,952.35,1112.1,945.66,1035.55,1049.62,913.92,896.02,1016.66,643.59,1275.7,1088.15,1023.54,1090.43,1087.47,1065.38,1580.52,1579.41,1548.24,1564.42,1470.85,1519.77
45,1007.07,1075.5,975.66,1047.17,1063.32,987.58,993.41,969.96,579.17,1355.37,1035.86,1003.58,1055.8,1049.37,1071.83,1581.15,1617.05,1497.07,1532.45,1526.15,1527.8
40,1046.05,1030.28,1006.53,983.6,1064.4,1028.12,991.81,949.19,706.83,1335.33,1019.5,921.22,1036.19,951.46,1060.45,1504.38,1564.27,1459.95,1544.36,1471.13,1524.31
35,1032.3,1083.6,1005.04,1025.56,1082,1037.62,1037.91,969.66,717.92,1351.37,1028.41,967.04,1034.47,985.73,1021.08,1560.73,1579.94,1489.19,1533.84,1504.41,1541.83
30,1049.1,1155.6,1059.65,1081.7,1066.69,1049.5,1052.96,1023.59,721.43,1322.47,1033.9,1000.73,1026.87,1120.05,1016.93,1610.68,1575.57,1529.19,1527.56,1553.3,1519.92
25,1045,1143.23,1005.2,1044.33,1052.02,1028.01,1055.38,1000.77,699.39,1301.19,1025.52,1041.94,1018.11,1062.96,1019.11,1593.22,1546.04,1544.76,1545.05,1525.89,1514.67
20,1000.66,1083.13,992.46,1028.83,1032.57,1009.97,1012.06,985.14,710.24,1317.93,1042.36,1031.64,1030.42,1035.97,1029.08,1561.62,1558.75,1526.25,1543.49,1517.77,1535.77
15,1005.95,1095.29,975.33,1031.38,1034.13,1002.75,997.39,1010.84,667.21,1285.92,1052.87,1012.48,1033.28,1024.71,1025.58,1548.5,1572.53,1495.34,1533.07,1517.08,1514.54
10,1003.88,1140.55,990.31,1049.07,1052.06,996.04,1031,1005.64,662.5,1262.17,989.9,993.4,982.22,1010.33,1001.69,1538.02,1533.19,1508.14,1523.48,1481.5,1498.8
5,995.98,1109.04,997.28,1040.1,1034.92,991.74,1029.98,1007.5,696.23,1250.48,962.49,983.52,946.5,1024.7,992.37,1550.99,1518.04,1537.85,1511.02,1497.77,1486.82
0,972.4,1101.84,965.07,1031.43,999.71,960.12,1036,986.38,672.42,1261.4,981.88,997.95,983.34,1011.47,1003.9,1576.66,1517.76,1533.73,1525.39,1493.95,1520.74
-5,975.12,1078.53,971.12,1011.7,1001.01,958.64,1041.96,983.85,687.21,1291.13,996.19,1037.8,992.97,1046.38,1012.39,1588.03,1511.23,1560.84,1528.73,1520.58,1524.64
-10,1001.08,1063.33,995.96,1001.05,1028.67,994.77,1027.48,994.89,677.92,1273.25,1002.02,1026.48,1032.69,1044.73,1010.98,1556.07,1524.32,1560.81,1529.59,1502.65,1520.24
-15,1006.3,1091.35,1033.35,1019.73,1015.76,985.35,1054.4,1003.34,729.89,1286.28,994.41,1009.91,1056.74,1026.63,1024.46,1601.55,1530.9,1515.66,1536.69,1493.52,1515.92
-20,992.46,1119.44,1055.73,1063.64,1033.45,998.48,1050.65,1027.7,732.52,1335.5,1031.07,1053.53,1051.7,1060.73,1033.19,1549.38,1573.33,1523.61,1537.51,1561.78,1530.09
-25,993.66,1091.43,1037.05,1032.3,1049.52,1002.84,1054.52,1012.75,693.02,1325.37,1035.62,1005.68,1088.01,1034.2,1032.91,1514.81,1578.58,1542.07,1550.54,1514.51,1535.84
-30,965.02,1105.19,977.67,1032.51,1014.93,959.12,1071.2,1013,676.83,1329.31,1012.45,993.26,1060.87,966.92,1024.31,1562.32,1561.16,1496.32,1546.2,1447.09,1526.45
-35,958.88,1060.17,958.02,1034.61,983.68,971.06,1027.72,999.3,677.49,1342.49,1039.03,1019.79,1054.25,1033.2,1027.21,1531.45,1558.65,1541.9,1550.6,1501.64,1541.85
-40,942.24,1048.37,925.56,1028.59,1012.11,930.12,1037.79,959,632.01,1372.7,1023.76,1005.56,1045.45,976.08,1034.65,1542.46,1570.21,1509.99,1544.63,1477.48,1545.46
-45,970.12,1005.97,973.03,985.86,1067.44,934.45,986.35,965.84,664.8,1381.12,1042.6,933.69,1076.5,945.12,1058.3,1503.63,1597.72,1470.21,1538.38,1430.9,1546.51
-50,940.7,1018,969.82,1002.6,1020.11,889.05,898.57,1020.96,664.86,1267.39,1065,997.25,1069.14,994.47,1038.28,1511.14,1530.18,1497.35,1563.49,1477.18,1537.68
-55,917.35,1043.36,939.01,997.87,976.33,860.01,757.72,1115.38,681.57,1063.03,1136.6,1140.11,1086.73,1159.4,1015.58,1578.75,1467.99,1548.99,1550.55,1558.39,1508.08
-60,930.12,1013.91,944.62,960.82,912.51,866.22,621.65,1244.99,807.75,897.19,1266.63,1164.68,1121.21,1276.23,924.95,1532.64,1406.99,1561.47,1561.73,1463.64,1490.16
-62,910.78,1015.98,897.3,900.69,900.8,875.65,662.57,1238.41,861.15,878.01,1275.81,1161.72,1106.15,1223.42,892.87,1552,1412.33,1557.74,1548.22,1469.07,1484.97
-64,903.26,1043.52,912.9,863.91,851.62,920.97,672.61,1265.11,956.06,893.89,1216.16,1153.76,1068.34,1142.19,869.95,1612.88,1440.82,1556.35,1528.17,1450.18,1488.91
-66,896.09,1028.65,933.83,809.8,811.94,1007.13,833.51,1209.74,1025.64,931.57,1176.62,1100.76,956.94,1024.19,890.15,1704.81,1450.02,1565.9,1499.66,1499.34,1495.46
-68,1000.61,1112.52,945.22,789.33,790.38,1142.68,1037.89,1205.43,1151.2,1012.67,1070.07,1055.03,887.21,898.94,895.8,1818.15,1516.36,1586.59,1496.26,1501.68,1511.03
-70,1083.56,1193.73,1037.41,823.06,842.2,1358.51,1380.76,1268.5,1430.53,1106.14,1045.5,1038.4,884.86,839.48,1000.6,1921.19,1603.28,1693.34,1572.15,1615.88,1638.41
-71,1201.33,1314.7,1154.66,903.33,921.67,1537.91,1582.05,1398.01,1653.23,1231.4,1098.31,1086.25,919.66,902.05,1107.89,2050.6,1748.81,1826.96,1658.36,1808.86,1761.38
-72,1449.32,1586.19,1384,1045.19,1109.79,1848.31,1887.02,1575.21,1982.46,1567.09,1239.04,1301.59,1055.15,988.03,1275.29,2438.11,1967.45,2155,1874.25,2005.15,1953.75
-73,2024.09,2193.71,1769.34,1250.19,1292.84,2321.99,2298.31,1798.27,2563.29,2378.64,1311.56,1704.53,1136.58,1160.13,1521.06,3343.24,2425.28,2593.21,2078.96,2218.68,2253.22
-74,3028.44,3215.82,2327.95,1425.2,1461.48,3052.02,3074,1940.36,3342.43,3226.87,1242.35,1901.56,1055.35,1118.4,1679.56,4803.94,3115.87,3044.39,2321.85,2383.3,2636.32
Average,1179.712558,1317.98814,1125.456744,1013.077209,1020.405814,1277.604186,1216.922326,1212.95093,1107.63907,1361.753256,1095.067209,1099.064419,1024.901628,1069.833488,1085.28093,1924.722791,1710.728605,1737.680465,1659.375814,1656.427442,1679.493953
